time,distance,spot,cycle,rgt,dh_fit_dy,pflags,h_sigma,w_surface_window_final,gt,n_fit_photons,h_mean,dh_fit_dx,rms_misfit,segment_id,geometry
2022-03-04 02:48:03.241118976,12251568.426800428,5,14,1097,0.0,0,0.009798549214137251,3.0,50,199,25.018172992777643,0.000780327383500816,0.13820154598574635,611652,POINT (-148.6738829098156 70.10713712139267)
2022-03-04 02:48:03.242518016,12251578.426800428,5,14,1097,0.0,0,0.01036227061290484,3.0,50,195,25.020354214828327,0.0028685402808476816,0.1445912393099208,611653,POINT (-148.6739149168437 70.1070481567349)
2022-03-04 02:48:03.243916288,12251588.426800428,5,14,1097,0.0,0,0.0113911635824381,3.0,50,184,25.041013553774974,2.577067549894594e-05,0.15439327883347273,611653,POINT (-148.67394692639914 70.10695919259553)
2022-03-04 02:48:03.245315328,12251598.439879866,5,14,1097,0.0,0,0.01157449428566686,3.0,50,179,25.07347687451018,0.002708209412006455,0.15430840426485642,611654,POINT (-148.6739789899958 70.10687011208881)
2022-03-04 02:48:03.246711808,12251608.439879866,5,14,1097,0.0,0,0.010433122354680002,3.0,50,199,25.123777318184153,0.006243420404710193,0.14648861202302607,611654,POINT (-148.67401102783973 70.10678114906146)
2022-03-04 02:48:03.248111616,12251618.452959444,5,14,1097,0.0,0,0.009574237600613359,3.0,50,218,25.17089103610703,0.0019639694218990585,0.14129024443732718,611655,POINT (-148.67404313692685 70.10669207076519)
2022-03-04 02:48:03.249505792,12251628.452959444,5,14,1097,0.0,0,0.009553369227857418,3.0,50,205,25.171027452569305,-0.0023122857901913133,0.13676887743683483,611655,POINT (-148.67407524636175 70.10660311067429)
2022-03-04 02:48:03.250904064,12251638.466039164,5,14,1097,0.0,0,0.01034164655974567,3.0,50,185,25.16593108766782,0.0032200288374070736,0.1405432481610838,611656,POINT (-148.67410743912706 70.1065140355842)
2022-03-04 02:48:03.252301568,12251648.466039164,5,14,1097,0.0,0,0.009911629951260756,3.0,50,192,25.18353507550794,0.00015556198103232287,0.13679402556851558,611656,POINT (-148.67413963078312 70.1064250791606)
2022-03-04 02:48:03.253702144,12251658.479119025,5,14,1097,0.0,0,0.008934084000251866,3.0,50,210,25.17156030429248,-0.002637896100200557,0.129165192488212,611657,POINT (-148.67417192183996 70.10633600839164)
2022-03-04 02:48:03.255100672,12251668.479119025,5,14,1097,0.0,0,0.009320864344235232,3.0,50,216,25.191920247785692,0.006981357969696956,0.13672249671352454,611657,POINT (-148.67420422020373 70.10624705638496)
2022-03-04 02:48:03.256502528,12251678.492199026,5,14,1097,0.0,0,0.009805288698058696,3.0,50,212,25.25906875575662,0.005925810370613621,0.14221552872888701,611658,POINT (-148.67423660938962 70.10615798939439)
2022-03-04 02:48:03.257901568,12251688.492199026,5,14,1097,0.0,0,0.0092194563676008,3.0,50,210,25.34305733849454,0.010597539927423016,0.13305650071411834,611658,POINT (-148.67426898085992 70.10606904077707)
2022-03-04 02:48:03.259306496,12251698.505279168,5,14,1097,0.0,0,0.009426063036109883,3.0,50,201,25.429307503075787,0.005868295914140506,0.1335107293337011,611659,POINT (-148.67430149532763 70.10597997920964)
2022-03-04 02:48:03.260715776,12251708.505279168,5,14,1097,0.0,0,0.009723420248253635,3.0,50,206,25.493974724497015,0.008184678903316726,0.13870390858240986,611659,POINT (-148.67433414501951 70.10589104243051)
2022-03-04 02:48:03.262126336,12251718.51835945,5,14,1097,0.0,0,0.010728406314126122,3.0,50,203,25.58311647044849,0.011347870788560395,0.15282768435047012,611660,POINT (-148.67436690902773 70.10580199128877)
2022-03-04 02:48:03.263539456,12251728.51835945,5,14,1097,0.0,0,0.01111596088358389,3.0,50,205,25.689177505707203,0.010875104345035594,0.15807350799064623,611660,POINT (-148.6743996785414 70.10571305924991)
2022-03-04 02:48:03.264953600,12251738.531439874,5,14,1097,0.0,0,0.009812530816965452,3.0,50,204,25.774368470476844,0.006226623874675459,0.13972665783140883,611661,POINT (-148.67443254420252 70.10562401272713)
2022-03-04 02:48:03.266364928,12251748.531439874,5,14,1097,0.0,0,0.009520645607897846,3.0,50,190,25.841971879048103,0.008991914288198672,0.1311511448855279,611661,POINT (-148.67446541059118 70.10553508474436)
2022-03-04 02:48:03.267781888,12251758.54452044,5,14,1097,0.0,0,0.010202364158689477,3.0,50,197,25.9167610368913,0.0076581679468983544,0.143194260910307,611662,POINT (-148.67449835342092 70.10544604174684)
2022-03-04 02:48:03.269195776,12251768.54452044,5,14,1097,0.0,0,0.010428565670780628,3.0,50,196,25.96204928265931,0.0025620663523555,0.14595259068615482,611662,POINT (-148.67453128720098 70.10535711644427)
2022-03-04 02:48:03.270611968,12251778.557601146,5,14,1097,0.0,0,0.009554726827666067,3.0,50,184,26.000670488473563,0.005156306886893363,0.12959670868572482,611663,POINT (-148.67456428650604 70.10526807550453)
2022-03-04 02:48:03.272025344,12251788.557601146,5,14,1097,0.0,0,0.010130132664228709,3.0,50,176,26.03418434527861,0.0026847643807868136,0.1343900914937795,611663,POINT (-148.67459725922632 70.10517915215098)
2022-03-04 02:48:03.273440512,12251798.570681993,5,14,1097,0.0,0,0.010569952390067824,3.0,50,165,26.041372335249907,0.0009504748934890783,0.135401641002335,611664,POINT (-148.67463028960088 70.10509011264114)
